case_type,customer_name,customer_email,customer_contact,attempt_count,contact_count,days_overdue,hours_since_notification,salary_proximity_days,mandate_revoked,promised_to_pay,failure_code,amount,txn_id
mandate_failure,Ishaan Nair,ishaan.nair803@example.com,+918562387184,0,0,0,76.0,-5,False,False,do_not_honor,999.0,TXN-0021
receivable_overdue,Meera Pillai,meera.pillai307@example.com,+916604441418,0,2,4,48.0,0,False,False,invoice_overdue,295597.0,TXN-0050
checkout_abandonment,Vivaan Das,vivaan.das334@example.com,+914327588364,0,2,0,48.0,0,False,False,cart_abandoned,4009.0,TXN-0026
checkout_abandonment,Ishaan Verma,ishaan.verma919@example.com,+918313145821,0,1,0,48.0,0,False,False,cart_abandoned,1153.0,TXN-0032
checkout_abandonment,Karan Sharma,karan.sharma758@example.com,+914741054771,0,0,0,48.0,0,False,False,cart_abandoned,2586.0,TXN-0033
receivable_overdue,Kabir Mehta,kabir.mehta722@example.com,+912303552055,0,5,75,48.0,0,False,False,invoice_overdue,321.0,TXN-0075
mandate_failure,Sara Verma,sara.verma691@example.com,+911032065843,2,0,0,17.0,-6,False,False,insufficient_funds,299.0,TXN-0072
receivable_overdue,Rahul Gupta,rahul.gupta14@example.com,+915402832552,0,0,52,48.0,0,False,False,invoice_overdue,425331.0,TXN-0045
mandate_failure,Aarav Sharma,aarav.sharma972@example.com,+914375561060,2,0,0,80.0,4,False,False,insufficient_funds,1499.0,TXN-0010
receivable_overdue,Kabir Iyer,kabir.iyer823@example.com,+916005701402,0,3,45,48.0,0,False,True,invoice_overdue,10002.0,TXN-0058
mandate_failure,Neha Iyer,neha.iyer748@example.com,+913650000208,4,0,0,65.0,5,False,False,insufficient_funds,2999.0,TXN-0062
checkout_abandonment,Meera Pillai,meera.pillai103@example.com,+914745315843,0,2,0,48.0,0,False,False,cart_abandoned,1119.0,TXN-0028
checkout_abandonment,Sneha Das,sneha.das359@example.com,+915321341647,0,0,0,48.0,0,False,False,cart_abandoned,2302.0,TXN-0029
checkout_abandonment,Sara Mehta,sara.mehta705@example.com,+911735365117,0,0,0,48.0,0,False,False,cart_abandoned,4204.0,TXN-0031
mandate_failure,Priya Singh,priya.singh143@example.com,+911402858352,0,0,0,57.0,-9,False,False,bank_timeout,299.0,TXN-0016
receivable_overdue,Diya Das,diya.das186@example.com,+912186462078,0,2,5,48.0,0,False,False,invoice_overdue,22587.0,TXN-0051
mandate_failure,Vivaan Mehta,vivaan.mehta491@example.com,+910273066001,1,0,0,94.0,-10,False,False,do_not_honor,99.0,TXN-0001
receivable_overdue,Arjun Gupta,arjun.gupta564@example.com,+910087724626,0,2,37,48.0,0,False,False,invoice_overdue,348022.0,TXN-0056
mandate_failure,Aditya Gupta,aditya.gupta319@example.com,+913087735445,0,0,0,87.0,12,True,False,insufficient_funds,499.0,TXN-0066
mandate_failure,Isha Sharma,isha.sharma129@example.com,+910385504342,1,0,0,78.0,-13,False,False,risk_block,499.0,TXN-0003
checkout_abandonment,Ananya Reddy,ananya.reddy18@example.com,+913643484481,0,1,0,48.0,0,False,False,cart_abandoned,858.0,TXN-0035
receivable_overdue,Diya Reddy,diya.reddy40@example.com,+913058488044,0,5,75,48.0,0,False,False,invoice_overdue,485.0,TXN-0074
receivable_overdue,Kabir Sharma,kabir.sharma902@example.com,+911031812200,0,0,21,48.0,0,False,True,invoice_overdue,258896.0,TXN-0049
mandate_failure,Riya Verma,riya.verma533@example.com,+917402043161,0,0,0,60.0,-6,True,False,insufficient_funds,299.0,TXN-0004
checkout_abandonment,Rohan Verma,rohan.verma593@example.com,+918455314727,0,0,0,48.0,0,False,False,cart_abandoned,6849.0,TXN-0038
mandate_failure,Karan Joshi,karan.joshi739@example.com,+913745347303,0,0,0,54.0,-5,False,False,risk_block,99.0,TXN-0069
mandate_failure,Rohan Kapoor,rohan.kapoor980@example.com,+913353737328,1,0,0,50.0,15,False,False,bank_timeout,999.0,TXN-0009
checkout_abandonment,Ishaan Sharma,ishaan.sharma83@example.com,+914111658114,0,0,0,48.0,0,False,False,cart_abandoned,5227.0,TXN-0034
mandate_failure,Rohan Gupta,rohan.gupta249@example.com,+910035018854,4,0,0,71.0,6,False,False,insufficient_funds,999.0,TXN-0060
mandate_failure,Vikram Singh,vikram.singh934@example.com,+912667784017,0,0,0,69.0,-6,True,False,insufficient_funds,1499.0,TXN-0064
checkout_abandonment,Arjun Joshi,arjun.joshi261@example.com,+913024308244,0,2,0,48.0,0,False,False,cart_abandoned,3808.0,TXN-0024
mandate_failure,Ananya Pillai,ananya.pillai534@example.com,+910102252622,0,0,0,92.0,-7,False,False,insufficient_funds,1499.0,TXN-0005
mandate_failure,Riya Joshi,riya.joshi880@example.com,+915527424186,4,0,0,25.0,5,False,False,insufficient_funds,99.0,TXN-0061
mandate_failure,Aarav Reddy,aarav.reddy726@example.com,+915155163036,1,0,0,30.0,-1,False,False,insufficient_funds,1499.0,TXN-0019
mandate_failure,Sneha Iyer,sneha.iyer162@example.com,+914616170452,1,0,0,76.0,8,False,False,bank_timeout,999.0,TXN-0006
receivable_overdue,Priya Khan,priya.khan938@example.com,+916380837855,0,0,22,48.0,0,False,False,invoice_overdue,375919.0,TXN-0055
mandate_failure,Karan Gupta,karan.gupta136@example.com,+917144600347,1,0,0,95.0,14,False,False,insufficient_funds,2999.0,TXN-0011
mandate_failure,Ishaan Mehta,ishaan.mehta704@example.com,+915537007011,1,0,0,91.0,-13,False,False,do_not_honor,99.0,TXN-0000
receivable_overdue,Diya Reddy,diya.reddy483@example.com,+912336604877,0,4,1,48.0,0,False,False,invoice_overdue,368788.0,TXN-0044
mandate_failure,Rohan Singh,rohan.singh732@example.com,+916726138273,1,0,0,27.0,0,True,False,insufficient_funds,499.0,TXN-0007
mandate_failure,Isha Mehta,isha.mehta525@example.com,+912483157847,4,0,0,87.0,7,False,False,insufficient_funds,299.0,TXN-0063
receivable_overdue,Ananya Rao,ananya.rao205@example.com,+911045685613,0,4,6,48.0,0,False,False,invoice_overdue,155460.0,TXN-0048
checkout_abandonment,Neha Rao,neha.rao494@example.com,+916857777201,0,2,0,48.0,0,False,False,cart_abandoned,2072.0,TXN-0039
mandate_failure,Rohan Pillai,rohan.pillai153@example.com,+916058315287,2,0,0,93.0,-1,False,False,do_not_honor,999.0,TXN-0008
checkout_abandonment,Rohan Rao,rohan.rao702@example.com,+912053732765,0,2,0,48.0,0,False,False,cart_abandoned,7636.0,TXN-0042
mandate_failure,Neha Gupta,neha.gupta791@example.com,+913225132060,0,0,0,21.0,-4,False,False,insufficient_funds,299.0,TXN-0071
mandate_failure,Diya Mehta,diya.mehta47@example.com,+911545174122,1,0,0,93.0,13,False,False,insufficient_funds,499.0,TXN-0014
receivable_overdue,Isha Pillai,isha.pillai770@example.com,+913728230034,0,0,76,48.0,0,False,True,invoice_overdue,13625.0,TXN-0057
mandate_failure,Aditya Nair,aditya.nair706@example.com,+917455822367,1,0,0,37.0,-4,False,False,insufficient_funds,999.0,TXN-0023
mandate_failure,Vikram Sharma,vikram.sharma279@example.com,+916341465582,0,0,0,32.0,-14,False,False,risk_block,499.0,TXN-0067
checkout_abandonment,Arjun Das,arjun.das379@example.com,+912353415647,0,2,0,48.0,0,False,False,cart_abandoned,7965.0,TXN-0025
mandate_failure,Sneha Khan,sneha.khan437@example.com,+911345531115,0,0,0,26.0,4,False,False,risk_block,1499.0,TXN-0068
receivable_overdue,Rahul Rao,rahul.rao199@example.com,+910882065756,0,0,1,48.0,0,False,True,invoice_overdue,394263.0,TXN-0047
